date1;date2;date3;label
2025-03-15;2025-03-22;2025-03-29;N°1
2025-04-05;2025-04-12;2025-04-26;N°2
2025-05-03;2025-05-10;2025-05-17;N°3
2025-05-22;2025-05-23;2025-05-24;N°4
2025-06-05;2025-06-07;2025-06-14;N°5
2025-06-25;2025-06-26;2025-06-28;N°6
2025-06-30;2025-07-02;2025-07-04;N°7
2025-07-24;2025-07-25;2025-07-26;N°8
2025-08-08;2025-08-09;2025-08-23;N°9
2025-08-25;2025-08-26;2025-08-27;N°10
2025-09-01;2025-09-06;2025-09-13;N°11
2025-09-20;2025-09-27;2025-10-04;N°12
2025-10-11;2025-10-18;2025-10-25;N°13
2025-10-13;2025-10-14;2025-10-15;N°14
